state,sector,age_band,sex,adults,capable_adults,excluded_adults,sample_n
Assam,Rural,25-34,Female,2288735.19,1232801.92,1055933.27,249.0
Punjab,Rural,60+,Female,1137884.4699999995,94752.94,1043131.5299999998,119.0
Kerala,Rural,60+,Male,1356003.01,315064.83,1040938.18,105.0
Tamil Nadu,Urban,35-44,Female,2504742.56,1476146.71,1028595.85,233.0
Kerala,Urban,60+,Male,1410927.92,401553.68000000005,1009374.24,148.0
Uttar Pradesh,Urban,35-44,Male,3114902.17,2109057.26,1005844.91,442.0
Chhattisgarh,Rural,60+,Male,1038083.0200000004,33302.32,1004780.7000000004,99.0
Tamil Nadu,Rural,35-44,Male,3101912.7,2098319.19,1003593.5099999998,212.0
Gujarat,Rural,35-44,Male,2198782.64,1195594.9700000002,1003187.67,243.0
Gujarat,Urban,45-59,Male,2946176.6800000006,1943922.12,1002254.5600000008,220.0
Madhya Pradesh,Urban,60+,Female,1145777.7800000005,144171.61,1001606.1700000004,226.0
Assam,Rural,15-24,Female,2765608.42,1772408.92,993199.5,281.0
Odisha,Rural,35-44,Male,2266956.35,1275024.44,991931.91,195.0
Maharashtra,Urban,15-24,Female,4416505.390000001,3429855.0600000005,986650.33,374.0
Odisha,Rural,25-34,Male,2602624.07,1631672.64,970951.43,214.0
Uttar Pradesh,Urban,25-34,Male,4076382.18,3110236.6,966145.5800000004,553.0
Telangana,Rural,60+,Male,1067093.69,103632.49,963461.2,105.0
West Bengal,Urban,25-34,Female,2362360.42,1404305.4,958055.02,249.0
Maharashtra,Rural,25-34,Male,6428689.390000001,5474268.859999999,954420.5300000012,525.0
Telangana,Rural,45-59,Male,1617892.61,677052.77,940839.84,165.0
Tamil Nadu,Rural,25-34,Female,3021924.6099999994,2095176.25,926748.3599999994,197.0
Kerala,Rural,45-59,Female,1757394.86,835294.46,922100.4,138.0
Gujarat,Rural,15-24,Male,3059742.31,2156088.02,903654.29,342.0
Haryana,Rural,45-59,Female,1091303.6399999997,192352.7,898950.9399999997,125.0
Assam,Rural,60+,Female,1006762.73,107939.56,898823.1699999999,104.0
Karnataka,Rural,25-34,Female,2994732.12,2102237.7,892494.4199999999,279.0
Punjab,Rural,35-44,Female,1371104.57,481194.49,889910.0800000001,132.0
Punjab,Rural,45-59,Male,1287549.51,407176.32000000007,880373.19,129.0
Chhattisgarh,Rural,35-44,Male,1636905.98,794252.67,842653.3099999999,171.0
Madhya Pradesh,Urban,35-44,Female,1710585.14,875506.53,835078.6100000001,315.0
Punjab,Rural,25-34,Female,1478356.3,644269.72,834086.5800000001,137.0
Gujarat,Urban,15-24,Female,2554871.4200000004,1726490.24,828381.1800000004,221.0
Madhya Pradesh,Urban,60+,Male,1121593.49,293692.5,827900.99,209.0
Andhra Pradesh,Rural,35-44,Male,2556392.0600000005,1735776.62,820615.4400000004,212.0
West Bengal,Urban,15-24,Female,1883930.28,1066616.91,817313.3699999999,207.0
Karnataka,Urban,60+,Female,1219508.74,403127.98,816380.76,106.0
Rajasthan,Urban,45-59,Female,1183084.87,368625.44,814459.4299999999,243.0
Chhattisgarh,Rural,15-24,Male,1920974.23,1133119.92,787854.31,215.0
Gujarat,Urban,25-34,Female,2501390.44,1763583.04,737807.3999999999,210.0
Maharashtra,Urban,15-24,Male,5121615.16,4387055.16,734560.0,418.0
Rajasthan,Urban,35-44,Female,1226015.59,504905.08,721110.5099999998,269.0
Karnataka,Urban,35-44,Female,2118059.77,1407566.53,710493.24,201.0
Karnataka,Urban,60+,Male,1038411.32,329324.78,709086.54,111.0
Gujarat,Rural,25-34,Male,2789154.2300000004,2084565.01,704589.2200000007,306.0
Assam,Rural,35-44,Male,1991355.85,1287829.29,703526.5599999998,206.0
Karnataka,Rural,35-44,Male,2764025.2800000003,2062884.0200000005,701141.26,259.0
Jharkhand,Rural,35-44,Male,1552245.25,854109.4199999999,698135.8300000001,191.0
Tamil Nadu,Rural,15-24,Male,2619357.19,1927592.14,691765.0499999998,186.0
Bihar,Urban,45-59,Female,820903.9299999999,136528.52,684375.4099999999,206.0
Haryana,Rural,60+,Male,875954.0100000001,193248.36,682705.6500000001,102.0
Haryana,Rural,35-44,Female,1097847.0300000005,415739.14,682107.8900000002,126.0
Rajasthan,Rural,25-34,Male,3693962.05,3017655.1900000004,676306.8599999999,385.0
Madhya Pradesh,Urban,45-59,Male,1912299.95,1244228.84,668071.1100000001,384.0
Tamil Nadu,Rural,15-24,Female,2704627.12,2037449.2,667177.9199999999,194.0
West Bengal,Urban,35-44,Male,2139560.6800000006,1487445.15,652115.5300000007,226.0
Rajasthan,Urban,60+,Female,861475.21,216660.09000000003,644815.1199999999,180.0
Maharashtra,Urban,35-44,Male,4642540.23,4004975.08,637565.1500000004,370.0
Punjab,Urban,60+,Male,826820.35,192406.52,634413.83,127.0
Andhra Pradesh,Urban,60+,Female,693684.9700000001,61122.13,632562.8400000001,75.0
Punjab,Urban,45-59,Female,858187.61,226735.81,631451.8,124.0
Chhattisgarh,Rural,25-34,Male,2025434.24,1394596.19,630838.05,208.0
Karnataka,Rural,15-24,Female,2307375.17,1695957.8199999998,611417.3500000001,235.0
Telangana,Urban,45-59,Female,1112829.21,501547.67999999993,611281.53,142.0
Punjab,Urban,60+,Female,702788.76,91856.84,610931.92,105.0
Kerala,Urban,45-59,Male,1642679.27,1049068.4,593610.8700000001,163.0
Punjab,Rural,15-24,Female,1397185.38,809851.0800000001,587334.3,136.0
Andhra Pradesh,Urban,35-44,Female,1164872.51,584825.46,580047.05,113.0
Jammu & Kashmir,Rural,60+,Male,614140.9399999996,42670.76,571470.1799999996,109.0
Haryana,Rural,45-59,Male,1173573.58,610467.03,563106.55,138.0
Delhi,Urban,45-59,Female,920506.89,362313.85,558193.0400000002,90.0
Madhya Pradesh,Urban,25-34,Female,1854935.11,1297730.36,557204.75,359.0
Assam,Rural,15-24,Male,2781278.25,2232227.3,549050.9500000002,283.0
Kerala,Rural,45-59,Male,1561485.72,1019275.93,542209.79,122.0
Jharkhand,Rural,25-34,Male,1997349.99,1455383.52,541966.4700000002,234.0
Punjab,Urban,45-59,Male,1105449.54,573400.27,532049.27,148.0
Andhra Pradesh,Urban,45-59,Male,1662577.0,1144696.37,517880.6300000001,155.0
Haryana,Rural,25-34,Female,1367878.17,851254.74,516623.42999999993,155.0
Rajasthan,Urban,45-59,Male,1282974.0699999998,766771.78,516202.2899999998,262.0
Telangana,Rural,25-34,Female,1499878.5100000002,985320.94,514557.5700000002,143.0
Rajasthan,Urban,15-24,Female,1334221.5,828621.24,505600.26,289.0
Himachal Pradesh,Rural,60+,Female,553688.5900000001,48814.25,504874.3400000001,68.0
Delhi,Urban,25-34,Female,1574652.47,1073274.9300000002,501377.5399999998,136.0
Bihar,Urban,35-44,Female,806516.66,310271.09,496245.57000000007,204.0
Haryana,Rural,15-24,Female,1222410.8,731647.65,490763.15,145.0
Punjab,Rural,15-24,Male,1639308.71,1153664.56,485644.1499999999,160.0
Jharkhand,Rural,15-24,Male,2037407.33,1555844.9,481562.43000000017,250.0
Punjab,Rural,25-34,Male,1852459.88,1371388.85,481071.03,172.0
Rajasthan,Urban,25-34,Female,1377507.7800000005,897100.71,480407.0700000003,299.0
Bihar,Urban,25-34,Female,967499.32,487500.63,479998.69000000006,269.0
Gujarat,Urban,15-24,Male,3751145.62,3272423.54,478722.0800000001,234.0
Karnataka,Urban,45-59,Male,1954194.56,1477599.84,476594.7199999997,191.0
Punjab,Urban,25-34,Female,1247784.56,773242.07,474542.4900000001,108.0
Tamil Nadu,Urban,35-44,Male,2317962.89,1846705.26,471257.6299999999,200.0
Gujarat,Urban,35-44,Male,2797519.54,2326891.06,470628.48,233.0
Punjab,Rural,35-44,Male,1512404.5699999998,1041877.62,470526.94999999984,130.0
Jammu & Kashmir,Rural,60+,Female,516125.95,46974.630000000005,469151.32,97.0
Andhra Pradesh,Urban,60+,Male,795752.4500000001,329149.69,466602.76000000007,85.0
Rajasthan,Urban,60+,Male,848097.3300000001,382620.71,465476.6200000001,186.0
Delhi,Urban,60+,Female,673081.81,207774.14,465307.67,59.0
Punjab,Urban,35-44,Female,1022752.15,565447.59,457304.56000000006,144.0
Odisha,Urban,45-59,Female,535187.7000000001,89281.06,445906.6400000001,118.0
Assam,Rural,25-34,Male,2708416.78,2264965.44,443451.3399999999,289.0
Haryana,Urban,45-59,Female,660736.04,217343.71,443392.33,97.0
Tamil Nadu,Urban,25-34,Female,2532031.12,2100788.63,431242.4900000002,205.0
Haryana,Urban,35-44,Female,988566.47,562997.9600000001,425568.51,128.0
Haryana,Urban,60+,Female,460803.84,42687.87,418115.97,78.0
Andhra Pradesh,Rural,15-24,Female,1797766.9900000002,1389261.2600000002,408505.73,151.0
Uttarakhand,Rural,45-59,Female,453173.4,49145.25,404028.15,70.0
West Bengal,Urban,15-24,Male,2130918.6,1728196.14,402722.4599999997,214.0
Bihar,Urban,15-24,Female,1059391.4400000002,665801.39,393590.05000000016,261.0
Karnataka,Urban,15-24,Female,2569641.51,2177289.51,392352.0,209.0
Telangana,Urban,60+,Female,542430.65,150961.47,391469.18000000005,76.0
Madhya Pradesh,Urban,15-24,Female,1733149.37,1342476.19,390673.18000000017,329.0
Telangana,Urban,45-59,Male,1254021.59,868305.0299999999,385716.5600000002,160.0
Karnataka,Urban,25-34,Female,2798538.76,2413318.44,385220.31999999983,239.0
Jammu & Kashmir,Rural,45-59,Female,530868.3099999999,147690.77000000002,383177.5399999999,101.0
Delhi,Urban,35-44,Female,1044412.32,661522.1100000001,382890.2099999999,97.0
Rajasthan,Urban,15-24,Male,2175866.45,1794081.2600000002,381785.19,404.0
Telangana,Urban,35-44,Female,1273522.78,893118.3400000001,380404.44,176.0
Uttarakhand,Rural,60+,Female,378538.14,0.0,378538.14,60.0
Delhi,Urban,60+,Male,678469.3200000001,301447.5,377021.82000000007,64.0
Karnataka,Urban,15-24,Male,2110114.98,1739708.86,370406.1200000001,196.0
Bihar,Urban,60+,Male,524377.61,157267.27000000002,367110.34,130.0
Uttarakhand,Rural,60+,Male,421389.66,54498.44,366891.22,63.0
Delhi,Urban,25-34,Male,1897285.2099999995,1533590.38,363694.8299999996,167.0
Jharkhand,Urban,45-59,Female,449574.78,93426.4,356148.38,134.0
Uttarakhand,Rural,35-44,Female,560871.4099999999,204924.14,355947.2699999999,75.0
Bihar,Urban,60+,Female,392584.81,41155.58,351429.23,98.0
Delhi,Urban,45-59,Male,1198285.1199999996,848185.48,350099.63999999966,117.0
Haryana,Urban,45-59,Male,904246.98,557852.6399999999,346394.3400000001,121.0
Haryana,Urban,25-34,Female,1084837.42,738844.1500000001,345993.2699999998,122.0
Tamil Nadu,Urban,15-24,Male,2422694.29,2078470.6000000003,344223.6899999997,179.0
Bihar,Urban,45-59,Male,801770.11,464761.76,337008.35,213.0
Kerala,Rural,35-44,Female,1188632.58,854585.3200000001,334047.26,96.0
Jammu & Kashmir,Rural,35-44,Female,573491.4499999997,244485.22,329006.22999999975,110.0
Odisha,Urban,60+,Female,378083.14,51503.87999999999,326579.25999999995,83.0
Haryana,Urban,60+,Male,460542.6,137087.96,323454.64,76.0
Himachal Pradesh,Rural,60+,Male,464143.14,141302.19000000003,322840.94999999995,61.0
Chhattisgarh,Urban,45-59,Female,396148.64,78373.77,317774.87,189.0
West Bengal,Urban,25-34,Male,2012360.48,1705704.4,306656.0800000001,211.0
Tamil Nadu,Rural,25-34,Male,2762580.9699999997,2457774.16,304806.8099999991,191.0
Jharkhand,Urban,35-44,Female,467025.07000000007,167154.07,299871.00000000006,133.0
Punjab,Urban,25-34,Male,1267760.95,968259.49,299501.46,132.0
Delhi,Urban,35-44,Male,1487077.92,1190438.9300000002,296638.98999999976,131.0
Karnataka,Rural,15-24,Male,2726852.8800000004,2435334.15,291518.73000000045,267.0
Odisha,Urban,35-44,Female,631078.43,343260.52,287817.91000000003,120.0
Madhya Pradesh,Urban,35-44,Male,1683154.48,1398208.9500000002,284945.5299999998,320.0
Punjab,Urban,35-44,Male,1225127.73,943601.45,281526.2799999999,136.0
Maharashtra,Urban,25-34,Male,4736471.690000001,4457004.790000001,279466.9000000004,437.0
Andhra Pradesh,Urban,25-34,Female,1482964.85,1203931.83,279033.02,132.0
Punjab,Urban,15-24,Female,695168.5599999998,416258.4199999999,278910.1399999999,92.0
Haryana,Rural,35-44,Male,1174382.6800000002,896540.12,277842.5600000002,132.0
Jharkhand,Urban,45-59,Male,499120.0700000001,226819.56,272300.5100000001,143.0
Jammu & Kashmir,Rural,45-59,Male,660644.6199999999,397590.45,263054.16999999987,123.0
Tamil Nadu,Urban,15-24,Female,1944287.64,1682269.54,262018.1000000001,180.0
Odisha,Urban,60+,Male,316128.62,54748.97000000001,261379.65,77.0
Jharkhand,Urban,60+,Female,278184.94,23138.56,255046.38,89.0
Telangana,Rural,35-44,Male,1472332.5300000005,1219025.71,253306.8200000003,139.0
Bihar,Urban,35-44,Male,821389.6900000001,569391.95,251997.7400000001,209.0
Odisha,Urban,25-34,Female,591995.03,340291.69999999995,251703.33000000007,124.0
Gujarat,Urban,25-34,Male,3001839.7800000003,2750249.51,251590.27,249.0
Jharkhand,Urban,25-34,Female,563722.6699999999,314054.36,249668.30999999997,166.0
Delhi,Urban,15-24,Female,828395.16,579002.89,249392.27,81.0
Bihar,Urban,15-24,Male,1342382.17,1093360.5699999998,249021.6000000001,327.0
Kerala,Rural,35-44,Male,1064346.27,816215.8400000001,248130.42999999996,84.0
Tripura,Rural,45-59,Female,270650.14,23324.27,247325.87,116.0
Himachal Pradesh,Rural,45-59,Female,471682.06,225123.63,246558.43,80.0
Uttarakhand,Rural,45-59,Male,523120.1,277583.07,245537.03,83.0
Chhattisgarh,Urban,60+,Female,268190.43999999994,22946.76,245243.67999999996,106.0
Assam,Urban,45-59,Female,366149.27,127338.41,238810.86,188.0
Telangana,Urban,60+,Male,494151.81,258604.13,235547.68,67.0
Telangana,Rural,15-24,Female,1279314.33,1044244.84,235069.4900000001,131.0
Haryana,Urban,35-44,Male,977123.47,742644.06,234479.40999999992,129.0
Chhattisgarh,Urban,45-59,Male,418862.7,184454.34,234408.36,189.0
Kerala,Urban,35-44,Female,1087418.98,854357.44,233061.54000000004,112.0
Rajasthan,Urban,25-34,Male,1847444.03,1620160.65,227283.3799999999,340.0
Madhya Pradesh,Urban,15-24,Male,1986063.09,1765076.67,220986.42000000016,401.0
Tripura,Rural,45-59,Male,276750.78,57522.48,219228.30000000005,120.0
Chhattisgarh,Urban,35-44,Female,400602.39,182480.39,218122.0,183.0
Telangana,Urban,15-24,Female,1591260.96,1374481.81,216779.1499999999,148.0
Jammu & Kashmir,Rural,25-34,Female,618248.3499999999,402140.54,216107.80999999988,118.0
Delhi,Urban,15-24,Male,1403450.8699999996,1189553.71,213897.15999999968,115.0
Tripura,Rural,25-34,Female,277685.04,64015.76000000001,213669.28,118.0
Jharkhand,Urban,60+,Male,287567.74,73913.44,213654.3,102.0
Andhra Pradesh,Rural,25-34,Male,2404458.5300000003,2194383.85,210074.68000000017,202.0
Uttarakhand,Urban,15-24,Female,375819.57,167131.29000000004,208688.2799999999,52.0
Chhattisgarh,Urban,25-34,Female,549626.78,342769.05000000005,206857.73,243.0
Chhattisgarh,Urban,60+,Male,234391.14,36226.9,198164.24,100.0
Madhya Pradesh,Urban,25-34,Male,1993387.3,1797064.44,196322.8600000001,400.0
Bihar,Urban,25-34,Male,940268.73,747419.23,192849.5,254.0
Jammu & Kashmir,Rural,35-44,Male,694946.71,503584.9,191361.81,125.0
Uttarakhand,Urban,25-34,Female,367999.25,177160.23000000004,190839.02,66.0
Andhra Pradesh,Rural,15-24,Male,1840383.68,1650664.48,189719.2000000002,154.0
