state,adults,capable_adults,excluded_adults,sample_n,female_rate,male_rate,gender_gap_pp,n_fsu,review_status,matches_published_precision,uncertainty_status,txn_volume_mn,txn_value_cr,txn_per_adult,txn_per_capable_adult,fitted_classified_txn_per_adult,residual,included_in_fit,transaction_scope,comparison_label
Gujarat,52938359.61000001,26367863.91,26570495.70000001,4961.0,0.3554741752688382,0.6302915665420018,27.481739127316363,190,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1369.53,208581.07,25.87027648928693,51.93936090820791,36.01784685139262,-10.14757036210569,True,Classified only; unknown state coverage,Below descriptive fitted line
Haryana,20778716.4,12323889.14,8454827.259999998,2508.0,0.4483978603477686,0.7273909947841337,27.899313443636515,98,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,988.81,144609.14,47.5876363565942,80.23522353755934,50.7140840080057,-3.126447651411503,True,Classified only; unknown state coverage,Below descriptive fitted line
Himachal Pradesh,5194234.140000001,3337642.94,1856591.200000001,1037.0,0.5432107986919276,0.7378403897847041,19.46295910927765,48,Unresolved discrepancy with official online-banking rate,False,Design-based confidence interval unavailable,156.95,20022.68,30.216196607571483,47.0242032540485,,,False,Classified only; unknown state coverage,Excluded from fit: source discrepancy or small sample
Jammu & Kashmir,8117968.81,4718493.87,3399474.9399999995,2312.0,0.4881481646028439,0.6620694268148458,17.392126221200193,85,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,200.75,27733.300000000003,24.72909230110728,42.545355685711634,48.87953904213907,-24.150446741031796,True,Classified only; unknown state coverage,Below descriptive fitted line
Jharkhand,21707428.64,8991688.379999999,12715740.260000002,3492.0,0.2898590077109079,0.5444600372334173,25.460102952250946,144,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,474.85,66616.04000000001,21.874999930899232,52.80988174103072,23.04635450558545,-1.171354574686223,True,Classified only; unknown state coverage,Below descriptive fitted line
Karnataka,49100416.41,30974310.19,18126106.22,4501.0,0.5344711963076701,0.729894015450252,19.542281914258187,193,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,3200.5,440035.94,65.18274658355388,103.32756340230866,56.55055035248412,8.632196231069756,True,Classified only; unknown state coverage,Above descriptive fitted line
Kerala,25893920.19,15490355.2,10403564.990000002,2356.0,0.531523328595988,0.6771130703268172,14.558974173082916,108,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1056.7,147255.13,40.80880732798767,68.21664102318326,51.50632696891088,-10.697519640923211,True,Classified only; unknown state coverage,Below descriptive fitted line
Ladakh,113592.38,70856.54000000001,42735.84,168.0,0.4425489259994865,0.7740231773577323,33.147425135824584,6,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,7.109999999999999,1238.15,62.59222669689638,100.34359566526956,55.45902767376643,7.133199023129954,True,Classified only; unknown state coverage,Above descriptive fitted line
Lakshadweep,42170.35,23146.44,19023.91,138.0,0.4307173031947419,0.6561495371413426,22.54322339466007,6,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1.54,182.11,36.518549170210825,66.53290959646493,43.87416053734181,-7.355611367130983,True,Classified only; unknown state coverage,Below descriptive fitted line
Madhya Pradesh,55448136.56,25235876.97,30212259.590000004,6911.0,0.3130411271482016,0.586329130588893,27.328800344069137,264,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1293.93,176721.55,23.335860865222195,51.27343113687719,29.37307522456732,-6.037214359345121,True,Classified only; unknown state coverage,Below descriptive fitted line
Maharashtra,92643022.65,52164612.37,40478410.28,8601.0,0.4303325921090493,0.6870257370479166,25.669314493886723,350,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,6214.549999999999,726809.96,67.08060490942972,119.13344540779148,46.06921424226688,21.011390667162843,True,Classified only; unknown state coverage,Above descriptive fitted line
Manipur,2232754.26,1375013.34,857740.9200000004,2145.0,0.5416137762217568,0.6903035669435955,14.868979072183874,79,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,33.58,7657.72,15.03972049302013,24.421581248077203,54.23066847953707,-39.19094798651695,True,Classified only; unknown state coverage,Below descriptive fitted line
Meghalaya,2074431.99,1099698.03,974733.9599999996,1206.0,0.4770215200732285,0.5812867392783606,10.42652192051321,49,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,34.94,5168.8,16.843164860757863,31.772358453711156,40.97260137240868,-24.12943651165081,True,Classified only; unknown state coverage,Below descriptive fitted line
Mizoram,701156.8200000001,471512.97,229643.8500000001,1297.0,0.6462362563845739,0.6967313479310586,5.049509154648469,49,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,27.34,4598.49,38.99270351531344,57.983558755552366,62.99150394970104,-23.9988004343876,True,Classified only; unknown state coverage,Below descriptive fitted line
Nagaland,936803.97,495694.43000000005,441109.5399999999,1170.0,0.4776345849971546,0.5777917600261083,10.015717502895372,53,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,27.57,4864.69,29.429849662144367,55.61894250052396,40.82001758869379,-11.39016792654942,True,Classified only; unknown state coverage,Below descriptive fitted line
Odisha,32863714.75,13119196.74,19744518.01,3499.0,0.3027284776144909,0.5005143146725011,19.77858370580101,167,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,833.76,115035.47,25.37022994334504,63.55267144198647,20.722921687564963,4.647308255780075,True,Classified only; unknown state coverage,Above descriptive fitted line
Puducherry,825519.1799999999,520702.88,304816.3,265.0,0.5643501323835283,0.6974597127076826,13.310958032415432,12,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,48.92,6816.88,59.2596770434819,93.94993167696713,56.538496170529314,2.721180872952587,True,Classified only; unknown state coverage,Above descriptive fitted line
Punjab,24789943.54,12301402.23,12488541.31,2680.0,0.3943979843793302,0.5826162387320359,18.82182543527057,101,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,547.16,95242.24,22.071853415766192,44.47948207608524,35.7300562172059,-13.658202801439709,True,Classified only; unknown state coverage,Below descriptive fitted line
Rajasthan,47737997.43,22351457.91,25386539.52,6183.0,0.3153204704433138,0.6106351281221365,29.531465767882263,239,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1519.78,235083.96,31.835855750516345,67.99466979377901,31.397000473720155,0.4388552767961897,True,Classified only; unknown state coverage,Above descriptive fitted line
Sikkim,529548.51,353445.43000000005,176103.07999999996,773.0,0.614877227755684,0.716713654113534,10.183642635785006,33,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,20.68,2883.4,39.052135185877496,58.509739395979736,62.21321339594465,-23.161078210067156,True,Classified only; unknown state coverage,Below descriptive fitted line
Tamil Nadu,55911357.57000001,29502107.04,26409250.53000001,4329.0,0.4408220369662523,0.616869958534795,17.604792156854266,208,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,2096.9,320010.98,37.504007971452296,71.07627930293077,40.59187617246113,-3.087868201008831,True,Classified only; unknown state coverage,Below descriptive fitted line
Telangana,26161366.7,16602021.55,9559345.15,2830.0,0.5305971848539331,0.7440070001080988,21.34098152541657,140,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,2287.99,364284.5,87.45682235324503,137.81393989336195,57.13284447044414,30.32397788280089,True,Classified only; unknown state coverage,Above descriptive fitted line
Tripura,3102539.2800000003,705425.01,2397114.2700000005,1457.0,0.1625495940530316,0.2918452691896473,12.929567513661578,62,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,37.2,5408.34,11.99017857398408,52.7341665983745,-5.85436929874075,17.84454787272483,True,Classified only; unknown state coverage,Above descriptive fitted line
Uttar Pradesh,136191055.68,54616149.53,81574906.15,12826.0,0.2853376461213538,0.5122927379893404,22.69550918679865,473,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,2766.4,389595.64,20.31264084258253,50.65168496509351,21.00533908946754,-0.6926982468850085,True,Classified only; unknown state coverage,Below descriptive fitted line
Uttarakhand,7607290.890000001,4072134.16,3535156.730000001,1238.0,0.4038889074626128,0.6555645777566357,25.16756702940228,55,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,294.62,37828.09,38.72863602301397,72.35026853830377,41.772803172613706,-3.044167149599737,True,Classified only; unknown state coverage,Below descriptive fitted line
West Bengal,71338593.45,26068574.91,45270018.54000001,5815.0,0.2494308203880111,0.4838383308325903,23.44075104445793,253,Matches official online-banking rate at published precision,True,Design-based confidence interval unavailable,1193.98,189186.9,16.736803212090802,45.80150637777998,15.498144596999744,1.238658615091058,True,Classified only; unknown state coverage,Above descriptive fitted line
