state,state_code,sector_name,age_band,gender_name,n_unweighted,adult_pop,upi_capable_rate,upi_capable_pop,unreliable,gap_pop
Bihar,10,Rural,60+,Male,303.0,3962439.94,0.11943555162125687,473256.19999999995,False,3489183.74
West Bengal,19,Rural,15-24,Female,392.0,5637750.04,0.400352992592059,2257090.1,False,3380659.94
Uttar Pradesh,09,Rural,25-34,Male,876.0,10610952.82,0.6827229225207317,7244340.72,False,3366612.1000000006
West Bengal,19,Rural,60+,Female,236.0,3421459.95,0.017882807600889786,61185.31,False,3360274.64
Madhya Pradesh,23,Rural,45-59,Female,344.0,3610527.68,0.08132444784359054,293624.17,False,3316903.5100000002
Tamil Nadu,33,Rural,45-59,Female,277.0,3794325.7699999996,0.1311577418931006,497655.20000000007,False,3296670.5699999994
Maharashtra,27,Rural,45-59,Male,533.0,5500683.09,0.4015450870120933,2208772.27,False,3291910.82
Bihar,10,Rural,60+,Female,262.0,3402999.1,0.03731047416380451,126967.51,False,3276031.5900000003
Maharashtra,27,Rural,35-44,Female,427.0,4036645.2700000005,0.19091198469366616,770643.96,False,3266001.3100000005
Madhya Pradesh,23,Rural,45-59,Male,395.0,4197847.0600000005,0.24869978707609228,1044003.67,False,3153843.3900000006
Madhya Pradesh,23,Rural,35-44,Female,343.0,3698739.26,0.15698073294304074,580630.8,False,3118108.46
Tamil Nadu,33,Rural,60+,Female,214.0,2946344.2699999996,0.012028509485756737,35440.130000000005,False,2910904.1399999997
Rajasthan,08,Rural,60+,Female,293.0,2943613.66,0.040700351281832275,119806.11,False,2823807.5500000003
Karnataka,29,Rural,45-59,Female,317.0,3676105.74,0.23613492956815763,868056.97,False,2808048.7700000005
Andhra Pradesh,28,Rural,45-59,Female,278.0,3261222.0700000003,0.14359263489223228,468287.47000000003,False,2792934.6
Madhya Pradesh,23,Rural,25-34,Female,379.0,3895040.4000000004,0.29381782535554696,1144432.2999999998,False,2750608.1000000006
Rajasthan,08,Rural,45-59,Female,315.0,3119959.9299999997,0.126135658415331,393538.2,False,2726421.7299999995
Odisha,21,Rural,45-59,Female,268.0,3214737.1100000003,0.1521230860460624,489035.73,False,2725701.3800000004
Uttar Pradesh,09,Urban,45-59,Female,447.0,3432518.4099999997,0.2109348774039059,724037.85,False,2708480.5599999996
Maharashtra,27,Urban,45-59,Female,443.0,4609918.84,0.41549644722161744,1915404.9,False,2694513.94
Bihar,10,Rural,15-24,Male,751.0,9540248.2,0.726995711704859,6935719.529999999,False,2604528.67
Maharashtra,27,Urban,60+,Female,289.0,3254374.6100000003,0.20675852986697185,672869.71,False,2581504.9000000004
Rajasthan,08,Rural,35-44,Female,305.0,3150039.08,0.1932698054019063,608807.44,False,2541231.64
Gujarat,24,Rural,60+,Female,279.0,2628159.7800000003,0.04666621144320228,122646.26,False,2505513.5200000005
Odisha,21,Rural,45-59,Male,302.0,3572869.8200000003,0.29904179660259766,1068437.41,False,2504432.41
Gujarat,24,Rural,45-59,Female,310.0,2884245.03,0.1366739704497298,394201.22,False,2490043.8099999996
Madhya Pradesh,23,Rural,60+,Female,237.0,2558275.49,0.027236030784159208,69677.26999999999,False,2488598.22
Tamil Nadu,33,Rural,60+,Male,192.0,2680506.0,0.0866825293433404,232353.04,False,2448152.96
Bihar,10,Rural,35-44,Male,441.0,5642698.46,0.569256123248521,3212140.65,False,2430557.81
Tamil Nadu,33,Rural,45-59,Male,251.0,3448921.04,0.30399817735461987,1048465.71,False,2400455.33
Rajasthan,08,Rural,25-34,Female,392.0,3821115.46,0.37312244943260625,1425743.96,False,2395371.5
Madhya Pradesh,23,Rural,15-24,Female,429.0,4546979.18,0.4739697158674917,2155130.43,False,2391848.7499999995
Rajasthan,08,Rural,60+,Male,273.0,2665826.01,0.11965077945953422,318968.16000000003,False,2346857.8499999996
West Bengal,19,Rural,35-44,Male,333.0,4604310.210000001,0.49041702166283874,2258032.1,False,2346278.110000001
Tamil Nadu,33,Urban,45-59,Female,276.0,3362714.18,0.3154531617076062,1060778.8200000003,False,2301935.36
Karnataka,29,Rural,60+,Female,220.0,2368674.13,0.049966117542728436,118353.45000000001,False,2250320.6799999997
Maharashtra,27,Rural,25-34,Female,425.0,5012909.36,0.5540471032973155,2777387.91,False,2235521.45
West Bengal,19,Urban,45-59,Female,296.0,2727311.1,0.1804942164463746,492263.88,False,2235047.22
Odisha,21,Rural,35-44,Female,238.0,2690565.4400000004,0.17308491481998667,465696.29000000004,False,2224869.1500000004
Gujarat,24,Urban,45-59,Female,213.0,2937812.5700000003,0.27048811354224683,794643.38,False,2143169.1900000004
Madhya Pradesh,23,Rural,60+,Male,216.0,2260176.27,0.05565284516503662,125785.24,False,2134391.03
Karnataka,29,Rural,60+,Male,224.0,2398999.16,0.1108071417582322,265826.24,False,2133172.92
Rajasthan,08,Rural,45-59,Male,320.0,3178932.6999999997,0.3303589125998169,1050188.75,False,2128743.9499999997
Rajasthan,08,Rural,15-24,Female,398.0,3984798.7699999996,0.47408671780934125,1889140.17,False,2095658.5999999996
Uttar Pradesh,09,Urban,45-59,Male,478.0,3638918.94,0.42511668314326345,1546965.1500000001,False,2091953.7899999998
Maharashtra,27,Rural,15-24,Female,433.0,4657251.050000001,0.5576224305108052,2596987.65,False,2060263.4000000008
Kerala,32,Rural,60+,Female,169.0,2200717.8200000003,0.06936896616759344,152661.52000000002,False,2048056.3000000003
Tamil Nadu,33,Urban,60+,Female,207.0,2341273.7700000005,0.13223150746698023,309590.16000000003,False,2031683.6100000003
Maharashtra,27,Urban,35-44,Female,423.0,5024954.89,0.5994755905161967,3012337.8000000003,False,2012617.0899999994
Madhya Pradesh,23,Rural,35-44,Male,371.0,4007117.52,0.5007951201790558,2006744.9,False,2000372.62
Assam,18,Rural,45-59,Female,252.0,2242717.75,0.11706592592848566,262545.83,False,1980171.92
Gujarat,24,Rural,45-59,Male,289.0,2678503.17,0.26626801416105844,713199.72,False,1965303.45
Andhra Pradesh,28,Rural,60+,Female,174.0,2061771.9300000002,0.04933676151076515,101721.15,False,1960050.7800000003
Uttar Pradesh,09,Urban,35-44,Female,432.0,3280050.17,0.4052993738202487,1329402.2800000003,False,1950647.8899999997
West Bengal,19,Rural,25-34,Male,385.0,5455524.640000001,0.6443291694123848,3515153.66,False,1940370.9800000004
Odisha,21,Rural,60+,Female,175.0,2006091.94,0.03996763478347857,80178.75,False,1925913.19
Tamil Nadu,33,Rural,35-44,Female,228.0,3034355.7799999993,0.37239918187840193,1129991.6099999999,False,1904364.1699999995
West Bengal,19,Urban,60+,Female,216.0,2002636.4100000001,0.04974843636244484,99628.03,False,1903008.3800000001
Uttar Pradesh,09,Urban,15-24,Female,551.0,4074487.54,0.537094539746709,2188385.0100000002,False,1886102.5299999998
Uttar Pradesh,09,Urban,25-34,Female,535.0,4006036.45,0.530012286832787,2123248.54,False,1882787.9100000001
Gujarat,24,Urban,60+,Female,176.0,2064806.16,0.09663908112323726,199540.97,False,1865265.19
Odisha,21,Rural,25-34,Female,262.0,3084381.0100000002,0.3984774014673368,1229056.13,False,1855324.8800000004
Andhra Pradesh,28,Rural,60+,Male,165.0,1996843.12,0.08603978363608254,171807.95,False,1825035.1700000002
Gujarat,24,Rural,60+,Male,224.0,2063449.61,0.1223271694044421,252415.95,False,1811033.6600000001
Uttar Pradesh,09,Urban,60+,Female,286.0,2088990.03,0.13900941882427273,290389.29000000004,False,1798600.74
Odisha,21,Rural,60+,Male,187.0,2003768.58,0.13417896791255204,268863.6,False,1734904.98
Chhattisgarh,22,Rural,45-59,Female,192.0,1811324.71,0.05277236018052225,95587.88,False,1715736.83
Assam,18,Rural,35-44,Female,241.0,2330659.07,0.27514087678211985,641259.58,False,1689399.4899999998
Uttar Pradesh,09,Urban,60+,Male,295.0,2186934.6799999997,0.24285376461266786,531105.3200000001,False,1655829.3599999996
Maharashtra,27,Urban,60+,Male,285.0,2823333.55,0.4135799611774529,1167674.1800000002,False,1655659.3699999996
Assam,18,Rural,45-59,Male,251.0,2319206.1900000004,0.29658275446393145,687836.56,False,1631369.6300000004
Gujarat,24,Rural,35-44,Female,242.0,2219181.3200000003,0.268000755341614,594742.27,False,1624439.0500000003
West Bengal,19,Urban,60+,Male,224.0,2057493.8400000003,0.21279186916059,437817.95999999996,False,1619675.8800000004
Bihar,10,Rural,25-34,Male,509.0,6725155.5,0.7593782463468687,5106936.789999999,False,1618218.710000001
West Bengal,19,Rural,15-24,Male,329.0,4682667.41,0.6583026168839098,3082612.21,False,1600055.2000000002
Karnataka,29,Rural,45-59,Male,295.0,3117710.2800000003,0.489818139868981,1527111.05,False,1590599.2300000002
Gujarat,24,Rural,15-24,Female,348.0,2948253.85,0.46053288796688924,1357767.8599999999,False,1590485.9900000002
Gujarat,24,Urban,60+,Male,159.0,2184489.9799999995,0.283483062714712,619265.9099999999,False,1565224.0699999996
Andhra Pradesh,28,Rural,45-59,Male,233.0,2727312.2900000005,0.4474902028912867,1220445.53,False,1506866.7600000005
Chhattisgarh,22,Rural,45-59,Male,190.0,1766134.3800000001,0.14964831271785783,264299.02999999997,False,1501835.35
Jharkhand,20,Rural,35-44,Female,215.0,1763934.6100000003,0.1580481092777016,278786.53,False,1485148.0800000003
Odisha,21,Rural,15-24,Female,254.0,2994632.7300000004,0.504710248725559,1511421.83,False,1483210.9000000004
Karnataka,29,Rural,35-44,Female,263.0,2735257.6799999997,0.45860028441634804,1254389.9500000002,False,1480867.7299999995
West Bengal,19,Urban,45-59,Male,300.0,2851909.92,0.4839195236573251,1380094.8900000001,False,1471815.0299999998
Andhra Pradesh,28,Rural,35-44,Female,188.0,2246093.63,0.3497375530155437,785543.29,False,1460550.3399999999
Telangana,36,Rural,45-59,Female,170.0,1694425.52,0.1410595610009462,239014.91999999998,False,1455410.6
Tamil Nadu,33,Urban,60+,Male,191.0,2075570.6800000002,0.30639755423795056,635949.78,False,1439620.9000000001
Jharkhand,20,Rural,45-59,Female,194.0,1519295.34,0.06046699254668944,91867.22,False,1427428.12
Punjab,03,Rural,60+,Male,157.0,1561375.4700000002,0.10629837805764937,165971.68,False,1395403.7900000003
Rajasthan,08,Rural,15-24,Male,441.0,4629865.930000001,0.703308438998362,3256223.7800000003,False,1373642.1500000004
Maharashtra,27,Rural,35-44,Male,406.0,3912027.9000000004,0.6539019647584824,2558082.73,False,1353945.1700000004
Madhya Pradesh,23,Urban,45-59,Female,341.0,1716787.56,0.22313096210925476,383068.45999999996,False,1333719.1
Kerala,32,Urban,60+,Female,159.0,1543091.54,0.14122055908620948,217916.25,False,1325175.29
Chhattisgarh,22,Rural,35-44,Female,149.0,1453871.71,0.09173296315119853,133367.96,False,1320503.75
Rajasthan,08,Rural,35-44,Male,306.0,3096799.46,0.5752920371537393,1781564.0699999998,False,1315235.3900000001
Gujarat,24,Rural,25-34,Female,250.0,2297514.15,0.42990657968308926,987716.4500000001,False,1309797.6999999997
Chhattisgarh,22,Rural,25-34,Female,216.0,2094990.6400000001,0.3753971950920028,786453.6099999999,False,1308537.0300000003
Tamil Nadu,33,Urban,45-59,Male,268.0,3225333.33,0.5943877992914302,1917098.78,False,1308234.55
Maharashtra,27,Urban,45-59,Male,474.0,5135580.16,0.7463514112493183,3832947.5,False,1302632.6600000001
Jharkhand,20,Rural,25-34,Female,248.0,2060234.36,0.3712870316365367,764938.2999999999,False,1295296.06
West Bengal,19,Urban,35-44,Female,222.0,2031114.6500000001,0.36535752425398527,742083.0199999999,False,1289031.6300000004
Gujarat,24,Urban,35-44,Female,206.0,2367042.6999999997,0.46001595155000796,1088877.4,False,1278165.2999999998
Jharkhand,20,Rural,45-59,Male,198.0,1603687.6600000001,0.21130409521265506,338865.77,False,1264821.8900000001
Madhya Pradesh,23,Rural,25-34,Male,408.0,4455389.15,0.7215109481514088,3214612.05,False,1240777.1000000006
Telangana,36,Rural,60+,Female,116.0,1239291.6099999994,0.007973305007689033,9881.25,False,1229410.3599999994
Madhya Pradesh,23,Rural,15-24,Male,498.0,5284261.879999999,0.7676097782648124,4056251.09,False,1228010.789999999
Uttar Pradesh,09,Urban,15-24,Male,628.0,4827654.720000001,0.7479645168161486,3610914.4299999997,False,1216740.290000001
Assam,18,Rural,60+,Male,153.0,1436314.01,0.15393070628058553,221092.83,False,1215221.18
Karnataka,29,Urban,45-59,Female,174.0,2024630.65,0.4056449407204223,821281.18,False,1203349.4699999997
Jharkhand,20,Rural,60+,Female,156.0,1199677.29,0.012266165345182118,14715.439999999999,False,1184961.85
Maharashtra,27,Rural,15-24,Male,503.0,5546775.9399999995,0.7871804264731127,4366313.45,False,1180462.4899999993
Kerala,32,Urban,45-59,Female,212.0,2069731.31,0.4349168298565286,900160.98,False,1169570.33
Jharkhand,20,Rural,15-24,Female,272.0,2278938.41,0.48899875710111884,1114398.05,False,1164540.36
Chhattisgarh,22,Rural,60+,Female,110.0,1162668.4200000002,0.0,0.0,False,1162668.4200000002
Odisha,21,Rural,15-24,Male,232.0,2874415.2699999996,0.6098883756625744,1753072.46,False,1121342.8099999996
Maharashtra,27,Urban,25-34,Female,400.0,4467238.65,0.7495084776811733,3348233.24,False,1119005.4100000001
Andhra Pradesh,28,Urban,45-59,Female,178.0,1737502.73,0.3599136848550448,625351.01,False,1112151.72
Haryana,06,Rural,60+,Female,131.0,1131165.5,0.032518840081314365,36784.19,False,1094381.31
Chhattisgarh,22,Rural,15-24,Female,213.0,1992654.54,0.45427962641231323,905222.3599999999,False,1087432.1800000002
Andhra Pradesh,28,Rural,25-34,Female,228.0,2889410.42,0.6291152988920141,1817772.3,False,1071638.1199999999
Punjab,03,Rural,45-59,Female,138.0,1446150.83,0.2598015242988174,375712.19,False,1070438.6400000001
Telangana,36,Rural,35-44,Female,157.0,1649522.19,0.3513040100418413,579483.76,False,1070038.43
Jharkhand,20,Rural,60+,Male,138.0,1077103.4,0.015004195511777237,16161.07,False,1060942.3299999998
Assam,18,Rural,25-34,Female,249.0,2288735.19,0.5386389501880294,1232801.92,False,1055933.27
Punjab,03,Rural,60+,Female,119.0,1137884.4699999997,0.08327114263190535,94752.94,False,1043131.5299999998
Kerala,32,Rural,60+,Male,105.0,1356003.01,0.2323481789321397,315064.83,False,1040938.1799999999
Tamil Nadu,33,Urban,35-44,Female,233.0,2504742.56,0.5893406905658201,1476146.71,False,1028595.8500000001
Kerala,32,Urban,60+,Male,148.0,1410927.92,0.2846025472371403,401553.68000000005,False,1009374.2399999999
Uttar Pradesh,09,Urban,35-44,Male,442.0,3114902.17,0.6770861956155753,2109057.26,False,1005844.9100000001
Chhattisgarh,22,Rural,60+,Male,99.0,1038083.0200000003,0.03208059409352442,33302.32,False,1004780.7000000003
Tamil Nadu,33,Rural,35-44,Male,212.0,3101912.6999999997,0.6764597823787885,2098319.19,False,1003593.5099999998
Gujarat,24,Rural,35-44,Male,243.0,2198782.64,0.5437531424206624,1195594.9700000002,False,1003187.6699999999
Gujarat,24,Urban,45-59,Male,220.0,2946176.6800000006,0.6598117937719877,1943922.1199999999,False,1002254.5600000008
Madhya Pradesh,23,Urban,60+,Female,226.0,1145777.7800000003,0.12582859653640688,144171.61,False,1001606.1700000003
Assam,18,Rural,15-24,Female,281.0,2765608.42,0.6408748639838173,1772408.92,False,993199.5
Odisha,21,Rural,35-44,Male,195.0,2266956.35,0.5624389018341707,1275024.44,False,991931.9100000001
Maharashtra,27,Urban,15-24,Female,374.0,4416505.390000001,0.7765993148714351,3429855.0600000005,False,986650.3300000001
Odisha,21,Rural,25-34,Male,214.0,2602624.07,0.6269336623786776,1631672.64,False,970951.4299999999
Uttar Pradesh,09,Urban,25-34,Male,553.0,4076382.18,0.7629894506113261,3110236.5999999996,False,966145.5800000005
Telangana,36,Rural,60+,Male,105.0,1067093.69,0.09711658026953565,103632.48999999999,False,963461.2
West Bengal,19,Urban,25-34,Female,249.0,2362360.42,0.5944501051198614,1404305.4,False,958055.02
Maharashtra,27,Rural,25-34,Male,525.0,6428689.390000001,0.8515373084466287,5474268.859999999,False,954420.5300000012
Telangana,36,Rural,45-59,Male,165.0,1617892.61,0.4184781893527531,677052.77,False,940839.8400000001
Tamil Nadu,33,Rural,25-34,Female,197.0,3021924.6099999994,0.6933251223629965,2095176.25,False,926748.3599999994
Kerala,32,Rural,45-59,Female,138.0,1757394.8599999999,0.4753026647636832,835294.46,False,922100.3999999999
Gujarat,24,Rural,15-24,Male,342.0,3059742.31,0.7046632695025876,2156088.02,False,903654.29
Haryana,06,Rural,45-59,Female,125.0,1091303.6399999997,0.1762595605380736,192352.7,False,898950.9399999997
Assam,18,Rural,60+,Female,104.0,1006762.73,0.1072144973026564,107939.56,False,898823.1699999999
Karnataka,29,Rural,25-34,Female,279.0,2994732.12,0.7019785462480698,2102237.7,False,892494.4199999999
Punjab,03,Rural,35-44,Female,132.0,1371104.57,0.35095389551505907,481194.49,False,889910.0800000001
Punjab,03,Rural,45-59,Male,129.0,1287549.51,0.316241291567887,407176.32000000007,False,880373.19
Chhattisgarh,22,Rural,35-44,Male,171.0,1636905.98,0.4852158155106746,794252.67,False,842653.3099999999
Madhya Pradesh,23,Urban,35-44,Female,315.0,1710585.1400000001,0.5118169856193185,875506.53,False,835078.6100000001
Punjab,03,Rural,25-34,Female,137.0,1478356.3,0.43580138292778264,644269.72,False,834086.5800000001
Gujarat,24,Urban,15-24,Female,221.0,2554871.4200000004,0.6757640429513277,1726490.24,False,828381.1800000004
Madhya Pradesh,23,Urban,60+,Male,209.0,1121593.49,0.26185289288724384,293692.5,False,827900.99
Andhra Pradesh,28,Rural,35-44,Male,212.0,2556392.0600000005,0.6789946844068979,1735776.62,False,820615.4400000004
West Bengal,19,Urban,15-24,Female,207.0,1883930.28,0.5661658084289617,1066616.9100000001,False,817313.3699999999
Karnataka,29,Urban,60+,Female,106.0,1219508.74,0.33056588015925165,403127.98,False,816380.76
Rajasthan,08,Urban,45-59,Female,243.0,1183084.8699999999,0.31157987845791657,368625.44,False,814459.4299999999
Chhattisgarh,22,Rural,15-24,Male,215.0,1920974.23,0.5898673195631573,1133119.92,False,787854.31
Gujarat,24,Urban,25-34,Female,210.0,2501390.44,0.7050410890672469,1763583.04,False,737807.3999999999
Maharashtra,27,Urban,15-24,Male,418.0,5121615.16,0.8565764945135003,4387055.16,False,734560.0
Rajasthan,08,Urban,35-44,Female,269.0,1226015.5899999999,0.41182598664997405,504905.08,False,721110.5099999998
Karnataka,29,Urban,35-44,Female,201.0,2118059.77,0.6645546787378904,1407566.53,False,710493.24
Karnataka,29,Urban,60+,Male,111.0,1038411.32,0.31714290248684884,329324.77999999997,False,709086.54
Gujarat,24,Rural,25-34,Male,306.0,2789154.2300000004,0.7473824816062608,2084565.0099999998,False,704589.2200000007
Assam,18,Rural,35-44,Male,206.0,1991355.8499999999,0.646709773142756,1287829.29,False,703526.5599999998
Karnataka,29,Rural,35-44,Male,259.0,2764025.2800000003,0.7463332679793725,2062884.0200000003,False,701141.26
Jharkhand,20,Rural,35-44,Male,191.0,1552245.25,0.5502412843588987,854109.4199999999,False,698135.8300000001
Tamil Nadu,33,Rural,15-24,Male,186.0,2619357.19,0.7359027426114421,1927592.1400000001,False,691765.0499999998
Bihar,10,Urban,45-59,Female,206.0,820903.9299999999,0.16631485733050394,136528.52,False,684375.4099999999
Haryana,06,Rural,60+,Male,102.0,875954.0100000001,0.22061473295841177,193248.36,False,682705.6500000001
Haryana,06,Rural,35-44,Female,126.0,1097847.0300000003,0.3786858538935064,415739.14,False,682107.8900000002
Rajasthan,08,Rural,25-34,Male,385.0,3693962.0500000003,0.8169155906731635,3017655.1900000004,False,676306.8599999999
Madhya Pradesh,23,Urban,45-59,Male,384.0,1912299.9500000002,0.6506452295833611,1244228.84,False,668071.1100000001
Tamil Nadu,33,Rural,15-24,Female,194.0,2704627.12,0.7533198143779614,2037449.2000000002,False,667177.9199999999
West Bengal,19,Urban,35-44,Male,226.0,2139560.6800000006,0.6952105466810128,1487445.15,False,652115.5300000007
Rajasthan,08,Urban,60+,Female,180.0,861475.21,0.2514989258948032,216660.09000000003,False,644815.1199999999
Maharashtra,27,Urban,35-44,Male,370.0,4642540.23,0.8626689014173604,4004975.08,False,637565.1500000004
Punjab,03,Urban,60+,Male,127.0,826820.35,0.23270656074200402,192406.52000000002,False,634413.83
Andhra Pradesh,28,Urban,60+,Female,75.0,693684.9700000001,0.08811223054176882,61122.13,False,632562.8400000001
Punjab,03,Urban,45-59,Female,124.0,858187.61,0.26420308025654204,226735.81,False,631451.8
Chhattisgarh,22,Rural,25-34,Male,208.0,2025434.24,0.6885418259740687,1394596.19,False,630838.05
Karnataka,29,Rural,15-24,Female,235.0,2307375.17,0.7350160658962105,1695957.8199999998,False,611417.3500000001
Telangana,36,Urban,45-59,Female,142.0,1112829.21,0.450696005724005,501547.67999999993,False,611281.53
Punjab,03,Urban,60+,Female,105.0,702788.76,0.130703342495119,91856.84,False,610931.92
Kerala,32,Urban,45-59,Male,163.0,1642679.27,0.6386325189335347,1049068.4,False,593610.8700000001
Punjab,03,Rural,15-24,Female,136.0,1397185.3800000001,0.5796303708817795,809851.0800000001,False,587334.3
Andhra Pradesh,28,Urban,35-44,Female,113.0,1164872.51,0.5020510441953858,584825.46,False,580047.05
Jammu & Kashmir,01,Rural,60+,Male,109.0,614140.9399999996,0.06948040298371906,42670.76,False,571470.1799999996
Haryana,06,Rural,45-59,Male,138.0,1173573.58,0.5201778911894046,610467.03,False,563106.55
Delhi,07,Urban,45-59,Female,90.0,920506.8900000001,0.39360254000923334,362313.85,False,558193.0400000002
Madhya Pradesh,23,Urban,25-34,Female,359.0,1854935.11,0.6996095728653279,1297730.36,False,557204.75
Assam,18,Rural,15-24,Male,283.0,2781278.25,0.802590427620825,2232227.3,False,549050.9500000002
Kerala,32,Rural,45-59,Male,122.0,1561485.72,0.6527603275167959,1019275.9299999999,False,542209.79
Jharkhand,20,Rural,25-34,Male,234.0,1997349.9900000002,0.7286572344789707,1455383.52,False,541966.4700000002
Punjab,03,Urban,45-59,Male,148.0,1105449.54,0.5187032508060024,573400.27,False,532049.27
Andhra Pradesh,28,Urban,45-59,Male,155.0,1662577.0,0.6885072811665264,1144696.3699999999,False,517880.6300000001
Haryana,06,Rural,25-34,Female,155.0,1367878.17,0.6223176585967448,851254.74,False,516623.42999999993
Rajasthan,08,Urban,45-59,Male,262.0,1282974.0699999998,0.5976518138047795,766771.78,False,516202.2899999998
Telangana,36,Rural,25-34,Female,143.0,1499878.5100000002,0.6569338339276558,985320.9400000001,False,514557.5700000002
Rajasthan,08,Urban,15-24,Female,289.0,1334221.5,0.6210522315822373,828621.24,False,505600.26
Himachal Pradesh,02,Rural,60+,Female,68.0,553688.5900000001,0.08816192148731111,48814.25,False,504874.3400000001
Delhi,07,Urban,25-34,Female,136.0,1574652.47,0.6815947965966104,1073274.9300000002,False,501377.5399999998
Bihar,10,Urban,35-44,Female,204.0,806516.66,0.38470512190039563,310271.08999999997,False,496245.57000000007
Haryana,06,Rural,15-24,Female,145.0,1222410.8,0.5985284570457002,731647.65,False,490763.15
Punjab,03,Rural,15-24,Male,160.0,1639308.71,0.7037506437698364,1153664.56,False,485644.1499999999
Jharkhand,20,Rural,15-24,Male,250.0,2037407.33,0.7636395909108661,1555844.9,False,481562.43000000017
Punjab,03,Rural,25-34,Male,172.0,1852459.8800000001,0.7403069101825838,1371388.85,False,481071.03
Rajasthan,08,Urban,25-34,Female,299.0,1377507.7800000003,0.6512491058308214,897100.71,False,480407.0700000003
Bihar,10,Urban,25-34,Female,269.0,967499.3200000001,0.5038769743011292,487500.63,False,479998.69000000006
Gujarat,24,Urban,15-24,Male,234.0,3751145.62,0.8723797664778473,3272423.54,False,478722.0800000001
Karnataka,29,Urban,45-59,Male,191.0,1954194.5599999996,0.7561170572494073,1477599.8399999999,False,476594.71999999974
Punjab,03,Urban,25-34,Female,108.0,1247784.56,0.6196919682993993,773242.07,False,474542.4900000001
Tamil Nadu,33,Urban,35-44,Male,200.0,2317962.89,0.7966931946869953,1846705.2600000002,False,471257.6299999999
Gujarat,24,Urban,35-44,Male,233.0,2797519.54,0.8317693680881314,2326891.06,False,470628.48
Punjab,03,Rural,35-44,Male,130.0,1512404.5699999998,0.688888172296385,1041877.62,False,470526.94999999984
Jammu & Kashmir,01,Rural,60+,Female,97.0,516125.94999999995,0.09101388914856928,46974.630000000005,False,469151.31999999995
Andhra Pradesh,28,Urban,60+,Male,85.0,795752.4500000001,0.4136332725083033,329149.69,False,466602.76000000007
Rajasthan,08,Urban,60+,Male,186.0,848097.3300000001,0.45115188606949147,382620.70999999996,False,465476.6200000001
Delhi,07,Urban,60+,Female,59.0,673081.81,0.3086907667286388,207774.14,False,465307.67000000004
Punjab,03,Urban,35-44,Female,144.0,1022752.15,0.5528686397774866,565447.59,False,457304.56000000006
Odisha,21,Urban,45-59,Female,118.0,535187.7000000001,0.16682195797848118,89281.06,False,445906.6400000001
Assam,18,Rural,25-34,Male,289.0,2708416.78,0.8362691653387261,2264965.44,False,443451.33999999985
Haryana,06,Urban,45-59,Female,97.0,660736.04,0.3289418116196598,217343.71000000002,False,443392.33
Tamil Nadu,33,Urban,25-34,Female,205.0,2532031.12,0.8296851541066367,2100788.63,False,431242.4900000002
