state,state_code,n_unweighted,adult_pop,upi_capable_rate,upi_capable_pop,unreliable,gap_pop,rural_share_of_adults,female_rate,male_rate,gender_gap_pp,npci_monthly_txn_volume,npci_monthly_txn_value_cr
Lakshadweep,31,138.0,42170.35,0.5488794852307368,23146.440000000002,False,19023.909999999996,0.30572072558088803,0.4307173031947419,0.6561495371413426,22.54322339466007,,
Andhra Pradesh,28,3147.0,35719228.88,0.544182380456809,19437775.0,False,16281453.880000003,0.6661777274067513,0.4321444581000747,0.6634503381028017,23.130588000272706,,
Uttarakhand,05,1238.0,7607290.890000001,0.5352936043701096,4072134.1599999997,False,3535156.730000001,0.6269457062920331,0.40388890746261286,0.6555645777566357,25.16756702940228,,
Meghalaya,17,1206.0,2074431.9899999998,0.5301200691568587,1099698.03,False,974733.9599999997,0.8262629810293275,0.4770215200732285,0.5812867392783606,10.42652192051321,,
Nagaland,13,1170.0,936803.97,0.5291335710287394,495694.43000000005,False,441109.5399999999,0.6063743837464738,0.4776345849971546,0.5777917600261083,10.015717502895372,,
Tamil Nadu,33,4329.0,55911357.57000001,0.5276585710347651,29502107.04,False,26409250.53000001,0.5404541941620395,0.44082203696625233,0.616869958534795,17.604792156854266,,
Assam,18,3988.0,25375689.229999997,0.5136952546135829,13035371.14,False,12340318.089999996,0.8642276925457132,0.40508730484110417,0.6176086642424684,21.252135940136423,,
Arunachal Pradesh,12,1993.0,971283.3599999999,0.5003787566174305,486009.56000000006,False,485273.7999999998,0.7888147697701732,0.4470850753341591,0.5509416164378949,10.385654110373576,,
Gujarat,24,4961.0,52938359.61000001,0.4980861534859333,26367863.909999996,False,26570495.70000001,0.4876546003726842,0.3554741752688382,0.6302915665420018,27.481739127316363,,
Punjab,03,2680.0,24789943.54,0.4962255041102042,12301402.23,False,12488541.309999999,0.5924646611760698,0.3943979843793302,0.5826162387320359,18.821825435270572,,
Rajasthan,08,6183.0,47737997.43,0.4682110501760107,22351457.91,False,25386539.52,0.7187930455255379,0.31532047044331385,0.6106351281221365,29.531465767882263,,
Madhya Pradesh,23,6911.0,55448136.56,0.4551257902543298,25235876.97,False,30212259.590000004,0.6954470244148453,0.31304112714820165,0.586329130588893,27.328800344069137,,
Andaman & N. Islands,35,230.0,355771.6,0.43433910969846956,154525.52000000002,False,201246.07999999996,0.6042214724278161,0.3132344099456733,0.5372010684125889,22.396665846691555,,
Bihar,10,7028.0,71290022.46000001,0.4316886115061549,30775090.810000002,False,40514931.650000006,0.8810049676340078,0.29027838344903856,0.5721732520610284,28.189486861198986,,
Jharkhand,20,3492.0,21707428.64,0.414221717787022,8991688.379999999,False,12715740.260000002,0.7880583823953089,0.2898590077109079,0.5444600372334173,25.460102952250942,,
Uttar Pradesh,09,12826.0,136191055.68,0.4010259650114491,54616149.53,False,81574906.15,0.7441110759734144,0.28533764612135387,0.5122927379893404,22.695509186798652,,
Odisha,21,3499.0,32863714.75,0.3992000551307122,13119196.74,False,19744518.009999998,0.8318460785082125,0.30272847761449095,0.5005143146725011,19.77858370580101,,
Chhattisgarh,22,3582.0,20951187.78,0.36587106375503065,7665433.359999999,False,13285754.420000002,0.8076428137479086,0.26638176737447966,0.4673664822075828,20.098471483310316,,
West Bengal,19,5815.0,71338593.45,0.36542036574173575,26068574.909999996,False,45270018.54000001,0.6885377177281591,0.24943082038801112,0.48383833083259037,23.440751044457926,,
Tripura,16,1457.0,3102539.2800000003,0.22737021076490607,705425.01,False,2397114.2700000005,0.7590779189103449,0.1625495940530316,0.29184526918964737,12.929567513661578,,
