state,volume_mn,value_cr,state_code,n_unweighted,adult_pop,upi_capable_rate,upi_capable_pop,unreliable,uncertainty_status,matches_published_precision,review_status,allocated_mn,total_volume_mn,txn_per_adult,txn_per_capable_adult,method,included_in_fit,fitted_classified_txn_per_adult,residual,comparison_label,transaction_scope
Andaman & N. Islands,10.620000000000001,1760.95,35,230.0,355771.6,0.43433910969846956,154525.52000000002,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,10.620000000000001,29.85061202187022,68.7265119703205,excluded,True,26.1579547092023,3.6926573126679187,Above descriptive fitted line,Classified only; unknown state coverage
Haryana,988.81,144609.14,06,2508.0,20778716.4,0.5931015613649745,12323889.14,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,988.81,47.587636356594196,80.23522353755934,excluded,True,50.7140840080057,-3.126447651411503,Below descriptive fitted line,Classified only; unknown state coverage
Himachal Pradesh,156.95,20022.68,02,1037.0,5194234.140000001,0.6425669020765398,3337642.94,False,Design-based confidence interval unavailable,False,Unresolved discrepancy with official online-banking rate,0.0,156.95,30.216196607571483,47.0242032540485,excluded,False,,,Excluded from fit: source discrepancy or small sample,Classified only; unknown state coverage
Jammu & Kashmir,200.75,27733.300000000003,01,2312.0,8117968.81,0.5812406995439048,4718493.87,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,200.75,24.72909230110728,42.545355685711634,excluded,True,48.87953904213907,-24.150446741031793,Below descriptive fitted line,Classified only; unknown state coverage
Jharkhand,474.85,66616.04000000001,20,3492.0,21707428.64,0.414221717787022,8991688.379999999,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,474.85,21.874999930899232,52.809881741030715,excluded,True,23.046354505585455,-1.171354574686223,Below descriptive fitted line,Classified only; unknown state coverage
Karnataka,3200.5,440035.94,29,4501.0,49100416.41,0.6308359980362944,30974310.189999998,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,3200.5,65.18274658355388,103.32756340230866,excluded,True,56.55055035248412,8.632196231069756,Above descriptive fitted line,Classified only; unknown state coverage
Kerala,1056.7,147255.13,32,2356.0,25893920.19,0.5982236403888445,15490355.2,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1056.7,40.80880732798767,68.21664102318326,excluded,True,51.506326968910884,-10.697519640923211,Below descriptive fitted line,Classified only; unknown state coverage
Ladakh,7.109999999999999,1238.15,37,168.0,113592.38,0.6237789894005215,70856.54000000001,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,7.109999999999999,62.59222669689638,100.34359566526955,excluded,True,55.45902767376643,7.133199023129954,Above descriptive fitted line,Classified only; unknown state coverage
Lakshadweep,1.54,182.11,31,138.0,42170.35,0.5488794852307368,23146.440000000002,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1.54,36.518549170210825,66.53290959646493,excluded,True,43.87416053734181,-7.355611367130983,Below descriptive fitted line,Classified only; unknown state coverage
Madhya Pradesh,1293.93,176721.55,23,6911.0,55448136.56,0.4551257902543298,25235876.97,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1293.93,23.335860865222195,51.27343113687719,excluded,True,29.373075224567316,-6.037214359345121,Below descriptive fitted line,Classified only; unknown state coverage
Maharashtra,6214.549999999999,726809.96,27,8601.0,92643022.64999999,0.5630711399289604,52164612.37,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,6214.549999999999,67.08060490942972,119.13344540779148,excluded,True,46.06921424226688,21.011390667162843,Above descriptive fitted line,Classified only; unknown state coverage
Manipur,33.58,7657.72,14,2145.0,2232754.2600000002,0.6158372932630749,1375013.3399999999,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,33.58,15.03972049302013,24.421581248077203,excluded,True,54.23066847953707,-39.190947986516946,Below descriptive fitted line,Classified only; unknown state coverage
Meghalaya,34.94,5168.8,17,1206.0,2074431.9899999998,0.5301200691568587,1099698.03,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,34.94,16.843164860757863,31.772358453711153,excluded,True,40.972601372408676,-24.129436511650812,Below descriptive fitted line,Classified only; unknown state coverage
Mizoram,27.34,4598.49,15,1297.0,701156.8200000001,0.6724786189771355,471512.97,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,27.34,38.992703515313444,57.983558755552366,excluded,True,62.99150394970104,-23.998800434387597,Below descriptive fitted line,Classified only; unknown state coverage
Nagaland,27.57,4864.69,13,1170.0,936803.97,0.5291335710287394,495694.43000000005,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,27.57,29.429849662144367,55.61894250052396,excluded,True,40.82001758869379,-11.39016792654942,Below descriptive fitted line,Classified only; unknown state coverage
Odisha,833.76,115035.47,21,3499.0,32863714.75,0.3992000551307122,13119196.74,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,833.76,25.370229943345038,63.55267144198647,excluded,True,20.722921687564963,4.647308255780075,Above descriptive fitted line,Classified only; unknown state coverage
Puducherry,48.92,6816.88,34,265.0,825519.1799999999,0.6307580642765925,520702.87999999995,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,48.92,59.2596770434819,93.94993167696711,excluded,True,56.538496170529314,2.721180872952587,Above descriptive fitted line,Classified only; unknown state coverage
Punjab,547.16,95242.24,03,2680.0,24789943.54,0.4962255041102042,12301402.23,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,547.16,22.071853415766192,44.47948207608524,excluded,True,35.7300562172059,-13.658202801439707,Below descriptive fitted line,Classified only; unknown state coverage
Rajasthan,1519.78,235083.96,08,6183.0,47737997.43,0.4682110501760107,22351457.91,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1519.78,31.835855750516345,67.99466979377901,excluded,True,31.397000473720155,0.43885527679618974,Above descriptive fitted line,Classified only; unknown state coverage
Sikkim,20.68,2883.4,11,773.0,529548.51,0.6674467462858125,353445.43000000005,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,20.68,39.052135185877496,58.509739395979736,excluded,True,62.21321339594465,-23.161078210067153,Below descriptive fitted line,Classified only; unknown state coverage
Tamil Nadu,2096.9,320010.98,33,4329.0,55911357.57000001,0.5276585710347651,29502107.04,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,2096.9,37.504007971452296,71.07627930293077,excluded,True,40.59187617246113,-3.087868201008831,Below descriptive fitted line,Classified only; unknown state coverage
Telangana,2287.99,364284.5,36,2830.0,26161366.7,0.6346006972946104,16602021.55,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,2287.99,87.45682235324503,137.81393989336195,excluded,True,57.13284447044414,30.32397788280089,Above descriptive fitted line,Classified only; unknown state coverage
Tripura,37.2,5408.34,16,1457.0,3102539.2800000003,0.22737021076490607,705425.01,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,37.2,11.99017857398408,52.7341665983745,excluded,True,-5.85436929874075,17.84454787272483,Above descriptive fitted line,Classified only; unknown state coverage
Uttar Pradesh,2766.4,389595.64,09,12826.0,136191055.68,0.4010259650114491,54616149.53,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,2766.4,20.31264084258253,50.65168496509351,excluded,True,21.00533908946754,-0.6926982468850085,Below descriptive fitted line,Classified only; unknown state coverage
Uttarakhand,294.62,37828.09,05,1238.0,7607290.890000001,0.5352936043701096,4072134.1599999997,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,294.62,38.72863602301397,72.35026853830377,excluded,True,41.772803172613706,-3.044167149599737,Below descriptive fitted line,Classified only; unknown state coverage
West Bengal,1193.98,189186.9,19,5815.0,71338593.45,0.36542036574173575,26068574.909999996,False,Design-based confidence interval unavailable,True,Matches official online-banking rate at published precision,0.0,1193.98,16.736803212090802,45.80150637777998,excluded,True,15.498144596999744,1.2386586150910581,Above descriptive fitted line,Classified only; unknown state coverage
